"","shift","region","INCIDENT_TYPE_DESC","count"
"452","3","54","bulglar",14
"453","3","54","car_accident",26
"454","3","54","shooting",46
"455","3","54","theft_pro",61
"456","3","55","bulglar",4
"457","3","55","car_accident",5
"458","3","55","shooting",14
"459","3","55","theft_pro",8
"460","3","56","bulglar",7
"461","3","56","car_accident",6
"462","3","56","shooting",8
"463","3","56","theft_pro",44
"464","3","57","bulglar",12
"465","3","57","car_accident",5
"466","3","57","shooting",15
"467","3","57","theft_pro",14
"468","3","58","bulglar",1
"469","3","58","car_accident",1
"470","3","58","shooting",5
"471","3","58","theft_pro",1
"472","3","60","bulglar",1
"473","3",NA,"theft_pro",1
